DATAFLOW,FREQ: Frequency,YEARS: Year,MONTH: Month,TEMPERATURE: Temperature,MUNICIPALITY: Municipality,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_MONTH_2: Note Month 2,NOTE_MONTH_1: Note Month 1,NOTE_TEMPERATURE_2: Note Temperature 2,NOTE_TEMPERATURE_1: Note Temperature 1,NOTE_MUNICIPALITY_2: Note Municipality 2,NOTE_MUNICIPALITY_1: Note Municipality 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_A2101(1.1),A: Annual,2015: 2015,SL09: August,T02: Minimum temperatures,S01: Luxembourg-City,2021,5.9,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1984: 1984,SL13: December,T02: Minimum temperatures,S03: Grevenmacher,2021,-7.1,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1965: 1965,SL04: March,T01: Maximum temperatures,S02: Clervaux,2021,19.5,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2000: 2000,SL05: April,T01: Maximum temperatures,S02: Clervaux,2021,22.1,,,,,,,"S02: Since january 1996, Station of Dahl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,2009: 2009,SL07: June,T01: Maximum temperatures,S03: Grevenmacher,2021,29.4,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1974: 1974,SL06: May,T01: Maximum temperatures,S03: Grevenmacher,2021,,,,,,,,"S03: Before July 1988, Station of Echternach.",,l: Not available,1: One
LU1:DF_A2101(1.1),A: Annual,1981-2010: 1981-2010,SL09: August,T02: Minimum temperatures,S03: Grevenmacher,2021,6.91,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1998: 1998,SL12: November,T02: Minimum temperatures,S01: Luxembourg-City,2021,-12.8,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1972: 1972,SL03: February,T02: Minimum temperatures,S03: Grevenmacher,2021,-13,,,,,,,"S03: Before July 1988, Station of Echternach.",,,1: One
LU1:DF_A2101(1.1),A: Annual,1967: 1967,SL03: February,T02: Minimum temperatures,S01: Luxembourg-City,2021,-7,,,,,,,"S01: Since 2004, Station of Luxembourg-Merl.",,,1: One
